PostDate,Industry,CountIdIndexed
29-03-2020,Wholesale,0.5456
30-03-2020,Unknown,0.5122
30-03-2020,Communication,0.4878
30-03-2020,Construction,0.6209
30-03-2020,Energy,0.5383
30-03-2020,Entertainment,0.5424
30-03-2020,Financial Services,0.542
30-03-2020,Healthcare,0.5284
30-03-2020,Hospitality,0.2129
30-03-2020,Insurance,0.6076
30-03-2020,Manufacturing,0.5655
30-03-2020,Mining,0.5106
30-03-2020,Real Estate,0.5061
30-03-2020,Retail,0.4556
30-03-2020,Services,0.6003
30-03-2020,Transportation,0.5144
30-03-2020,Wholesale,0.5253
31-03-2020,Unknown,0.5027
31-03-2020,Communication,0.5611
31-03-2020,Construction,0.6316
31-03-2020,Energy,0.6516
31-03-2020,Entertainment,0.5148
31-03-2020,Financial Services,0.5923
31-03-2020,Healthcare,0.5593
31-03-2020,Hospitality,0.2441
31-03-2020,Insurance,0.7428
31-03-2020,Manufacturing,0.7744
31-03-2020,Mining,0.6108
31-03-2020,Real Estate,0.523
31-03-2020,Retail,0.4907
31-03-2020,Services,0.618
31-03-2020,Transportation,0.5552
31-03-2020,Wholesale,0.5806
01-04-2020,Unknown,0.5277
01-04-2020,Communication,0.5809
01-04-2020,Construction,0.6969
01-04-2020,Energy,0.6669
01-04-2020,Entertainment,0.5435
01-04-2020,Financial Services,0.6507
01-04-2020,Healthcare,0.6566
01-04-2020,Hospitality,0.2186
01-04-2020,Insurance,0.829
01-04-2020,Manufacturing,0.8307
01-04-2020,Mining,0.6103
01-04-2020,Real Estate,0.5883
01-04-2020,Retail,0.5281
01-04-2020,Services,0.7184
01-04-2020,Transportation,0.707
01-04-2020,Wholesale,0.6049
02-04-2020,Unknown,0.5352
02-04-2020,Communication,0.5727
02-04-2020,Construction,0.6958
02-04-2020,Energy,0.6564
02-04-2020,Entertainment,0.5456
02-04-2020,Financial Services,0.6272
02-04-2020,Healthcare,0.6913
02-04-2020,Hospitality,0.2003
02-04-2020,Insurance,0.8898
02-04-2020,Manufacturing,0.8392
02-04-2020,Mining,0.5964
02-04-2020,Real Estate,0.5875
02-04-2020,Retail,0.5103
02-04-2020,Services,0.7324
02-04-2020,Transportation,0.8009
02-04-2020,Wholesale,0.5749
03-04-2020,Unknown,0.5704
03-04-2020,Communication,0.5951
03-04-2020,Construction,0.7356
03-04-2020,Energy,0.7219
03-04-2020,Entertainment,0.5727
03-04-2020,Financial Services,0.6545
03-04-2020,Healthcare,0.7714
03-04-2020,Hospitality,0.1987
03-04-2020,Insurance,0.942
03-04-2020,Manufacturing,0.8681
03-04-2020,Mining,0.6281
03-04-2020,Real Estate,0.647
03-04-2020,Retail,0.5428
03-04-2020,Services,0.797
03-04-2020,Transportation,0.9314
03-04-2020,Wholesale,0.6229
04-04-2020,Unknown,0.5575
04-04-2020,Communication,0.5591
04-04-2020,Construction,0.7154
04-04-2020,Energy,0.7212
04-04-2020,Entertainment,0.5416
04-04-2020,Financial Services,0.6522
04-04-2020,Healthcare,0.8088
04-04-2020,Hospitality,0.2092
04-04-2020,Insurance,0.9304
04-04-2020,Manufacturing,0.8492
04-04-2020,Mining,0.6463
04-04-2020,Real Estate,0.6428
04-04-2020,Retail,0.523
04-04-2020,Services,0.7914
04-04-2020,Transportation,0.9189
04-04-2020,Wholesale,0.6024
05-04-2020,Unknown,0.5433
05-04-2020,Communication,0.4824
05-04-2020,Construction,0.6527
05-04-2020,Energy,0.675
05-04-2020,Entertainment,0.543
05-04-2020,Financial Services,0.6095
05-04-2020,Healthcare,0.8092
05-04-2020,Hospitality,0.2004
05-04-2020,Insurance,0.8993
05-04-2020,Manufacturing,0.7659
05-04-2020,Mining,0.567
05-04-2020,Real Estate,0.6403
05-04-2020,Retail,0.5025
05-04-2020,Services,0.7651
05-04-2020,Transportation,0.9167
05-04-2020,Wholesale,0.591
06-04-2020,Unknown,0.5608
06-04-2020,Communication,0.494
06-04-2020,Construction,0.6547
06-04-2020,Energy,0.6984
06-04-2020,Entertainment,0.5464
06-04-2020,Financial Services,0.7153
06-04-2020,Healthcare,0.8413
06-04-2020,Hospitality,0.2083
06-04-2020,Insurance,0.9417
06-04-2020,Manufacturing,0.8053
06-04-2020,Mining,0.567
06-04-2020,Real Estate,0.6705
06-04-2020,Retail,0.5132
06-04-2020,Services,0.7916
06-04-2020,Transportation,0.9786
06-04-2020,Wholesale,0.6197
07-04-2020,Unknown,0.6842
07-04-2020,Communication,0.5169
07-04-2020,Construction,0.7411
07-04-2020,Energy,0.6618
07-04-2020,Entertainment,0.6634
07-04-2020,Financial Services,0.7534
07-04-2020,Healthcare,0.979
07-04-2020,Hospitality,0.2638
07-04-2020,Insurance,0.9179
07-04-2020,Manufacturing,0.7523
07-04-2020,Mining,0.5479
07-04-2020,Real Estate,0.8683
07-04-2020,Retail,0.6378
07-04-2020,Services,0.9352
07-04-2020,Transportation,1.0767
07-04-2020,Wholesale,0.7011
08-04-2020,Unknown,0.6887
08-04-2020,Communication,0.5098
08-04-2020,Construction,0.7119
08-04-2020,Energy,0.6493
08-04-2020,Entertainment,0.6555
08-04-2020,Financial Services,0.7068
08-04-2020,Healthcare,0.9174
08-04-2020,Hospitality,0.2729
08-04-2020,Insurance,0.8375
08-04-2020,Manufacturing,0.7138
08-04-2020,Mining,0.5466
08-04-2020,Real Estate,0.8311
08-04-2020,Retail,0.6521
08-04-2020,Services,0.866
08-04-2020,Transportation,0.9648
08-04-2020,Wholesale,0.7164
09-04-2020,Unknown,0.6849
09-04-2020,Communication,0.5053
09-04-2020,Construction,0.7258
09-04-2020,Energy,0.6669
09-04-2020,Entertainment,0.6378
09-04-2020,Financial Services,0.7003
09-04-2020,Healthcare,0.8903
09-04-2020,Hospitality,0.2749
09-04-2020,Insurance,0.7615
09-04-2020,Manufacturing,0.7632
09-04-2020,Mining,0.6502
09-04-2020,Real Estate,0.8443
09-04-2020,Retail,0.6616
09-04-2020,Services,0.8505
09-04-2020,Transportation,0.9161
09-04-2020,Wholesale,0.7311
10-04-2020,Unknown,0.6947
10-04-2020,Communication,0.5052
10-04-2020,Construction,0.7348
10-04-2020,Energy,0.6472
10-04-2020,Entertainment,0.6178
10-04-2020,Financial Services,0.7299
10-04-2020,Healthcare,0.8553
10-04-2020,Hospitality,0.2879
10-04-2020,Insurance,0.744
10-04-2020,Manufacturing,0.7713
10-04-2020,Mining,0.6697
10-04-2020,Real Estate,0.8376
10-04-2020,Retail,0.684
10-04-2020,Services,0.831
10-04-2020,Transportation,0.8462
10-04-2020,Wholesale,0.744
11-04-2020,Unknown,0.6787
11-04-2020,Communication,0.4925
11-04-2020,Construction,0.7071
11-04-2020,Energy,0.6096
11-04-2020,Entertainment,0.5849
11-04-2020,Financial Services,0.7047
11-04-2020,Healthcare,0.793
11-04-2020,Hospitality,0.2726
11-04-2020,Insurance,0.7156
11-04-2020,Manufacturing,0.7513
11-04-2020,Mining,0.6268
11-04-2020,Real Estate,0.8015
11-04-2020,Retail,0.6607
11-04-2020,Services,0.7958
11-04-2020,Transportation,0.7999
11-04-2020,Wholesale,0.7302
12-04-2020,Unknown,0.7009
12-04-2020,Communication,0.4936
12-04-2020,Construction,0.7277
12-04-2020,Energy,0.6004
12-04-2020,Entertainment,0.5859
12-04-2020,Financial Services,0.6948
12-04-2020,Healthcare,0.8073
12-04-2020,Hospitality,0.2802
12-04-2020,Insurance,0.7306
12-04-2020,Manufacturing,0.752
12-04-2020,Mining,0.6402
12-04-2020,Real Estate,0.8151
12-04-2020,Retail,0.6913
12-04-2020,Services,0.8214
12-04-2020,Transportation,0.8275
12-04-2020,Wholesale,0.7506
13-04-2020,Unknown,0.6935
13-04-2020,Communication,0.4801
13-04-2020,Construction,0.72
13-04-2020,Energy,0.5672
13-04-2020,Entertainment,0.5783
13-04-2020,Financial Services,0.7695
13-04-2020,Healthcare,0.7918
13-04-2020,Hospitality,0.2701
13-04-2020,Insurance,0.7021
13-04-2020,Manufacturing,0.6909
13-04-2020,Mining,0.6285
13-04-2020,Real Estate,0.7973
13-04-2020,Retail,0.6867
13-04-2020,Services,0.8127
13-04-2020,Transportation,0.7811
13-04-2020,Wholesale,0.725
14-04-2020,Unknown,0.5651
14-04-2020,Communication,0.4116
