PostDate,CountIdIndexed
05-11-2020,0.6725
22-05-2020,0.6718
21-05-2020,0.6717
05-01-2020,0.6709
05-09-2020,0.6684
05-10-2020,0.6684
06-04-2020,0.6624
23-05-2020,0.6623
04-03-2020,0.6621
24-12-2020,0.6608
24-05-2020,0.6597
06-03-2020,0.6555
04-06-2020,0.6552
24-03-2020,0.6545
04-04-2020,0.6531
07-10-2021,0.6507
25-09-2020,0.6499
26-09-2020,0.6426
04-05-2020,0.6296
30-04-2020,0.6181
04-02-2020,0.6167
25-05-2020,0.614
29-04-2020,0.611
04-01-2020,0.6083
28-04-2020,0.6079
18-04-2020,0.6039
30-05-2020,0.6022
29-05-2020,0.5947
27-04-2020,0.5946
25-03-2020,0.5939
01-03-2021,0.5936
23-04-2020,0.5852
28-05-2020,0.5846
01-02-2021,0.5839
22-04-2020,0.5815
24-04-2020,0.5814
14-04-2020,0.5812
19-04-2020,0.5806
26-04-2020,0.5798
15-04-2020,0.5781
25-04-2020,0.5777
20-04-2020,0.5767
31-05-2020,0.5767
17-04-2020,0.5752
27-05-2020,0.5741
21-04-2020,0.5738
16-04-2020,0.5737
29-12-2020,0.5721
26-05-2020,0.5687
07-02-2021,0.5683
07-09-2021,0.5659
26-03-2020,0.5648
01-01-2021,0.5647
25-12-2020,0.56
28-12-2020,0.5571
31-03-2020,0.5566
01-04-2021,0.5558
06-01-2020,0.5471
29-03-2020,0.5325
26-12-2020,0.5305
30-03-2020,0.5283
27-12-2020,0.5174
31-12-2020,0.5148
07-08-2021,0.5105
28-03-2020,0.5095
27-03-2020,0.5058
06-02-2020,0.5052
30-12-2020,0.5032
07-03-2021,0.4724
07-07-2021,0.4677
07-05-2021,0.4619
07-06-2021,0.4588
07-04-2021,0.4346
