PostDate,State,CountIDIndexed
14-03-2020,NC,0.9859
14-03-2020,ND,0.9983
14-03-2020,NE,1.0434
14-03-2020,NH,1.1281
14-03-2020,NJ,1.0248
14-03-2020,NM,1.0309
14-03-2020,NV,0.8458
14-03-2020,NY,0.967
14-03-2020,OH,1.0573
14-03-2020,OK,1.0033
14-03-2020,OR,0.9605
14-03-2020,PA,1.0252
14-03-2020,Pi,0.304
14-03-2020,PR,0.9367
14-03-2020,RI,1.1124
14-03-2020,SC,0.947
14-03-2020,SD,1.0159
14-03-2020,TN,1.0007
14-03-2020,TX,0.9443
14-03-2020,UT,0.9961
14-03-2020,VA,0.9652
14-03-2020,VI,0.7652
14-03-2020,VT,1.2267
14-03-2020,WA,0.8652
14-03-2020,WI,1.0444
14-03-2020,WV,1.0967
14-03-2020,WY,1.019
15-03-2020,AK,0.8592
15-03-2020,AL,0.9581
15-03-2020,AR,0.9846
15-03-2020,AZ,0.9298
15-03-2020,CA,0.9364
15-03-2020,CO,1.011
15-03-2020,CT,0.9794
15-03-2020,DC,0.9151
15-03-2020,DE,1.0944
15-03-2020,FL,0.9638
15-03-2020,GA,0.9518
15-03-2020,GU,0
15-03-2020,HI,1.0569
15-03-2020,IA,0.9781
15-03-2020,ID,0.9921
15-03-2020,IL,0.9993
15-03-2020,IN,1.0184
15-03-2020,KS,0.9971
15-03-2020,KY,1.0306
15-03-2020,LA,1.0254
15-03-2020,MA,0.96
15-03-2020,MD,0.9341
15-03-2020,ME,1.015
15-03-2020,MI,0.9896
15-03-2020,MN,0.9824
15-03-2020,MO,0.9651
15-03-2020,MS,0.8822
15-03-2020,MT,1.0078
15-03-2020,NC,0.9698
15-03-2020,ND,0.9855
15-03-2020,NE,1.0229
15-03-2020,NH,1.094
15-03-2020,NJ,1.0062
15-03-2020,NM,1.0127
15-03-2020,NV,0.83
15-03-2020,NY,0.9425
15-03-2020,OH,1.0356
15-03-2020,OK,0.9835
15-03-2020,OR,0.9511
15-03-2020,PA,1.0013
15-03-2020,PR,0.9298
15-03-2020,RI,1.1099
15-03-2020,SC,0.9282
15-03-2020,SD,1.0168
15-03-2020,TN,0.9668
15-03-2020,TX,0.9302
15-03-2020,UT,0.9842
15-03-2020,VA,0.955
15-03-2020,VT,1.1902
15-03-2020,WA,0.8524
15-03-2020,WI,1.0281
15-03-2020,WV,1.026
15-03-2020,WY,0.9974
16-03-2020,AK,0.8527
16-03-2020,AL,0.9219
16-03-2020,AR,0.9301
16-03-2020,AS,0
16-03-2020,AZ,0.8908
16-03-2020,CA,0.9004
16-03-2020,CO,0.9634
16-03-2020,CT,0.9321
16-03-2020,DC,0.8871
16-03-2020,DE,1.072
16-03-2020,FL,0.9125
16-03-2020,GA,0.9154
16-03-2020,GU,0
16-03-2020,HI,1.0033
16-03-2020,IA,0.9375
16-03-2020,ID,0.9421
16-03-2020,IL,0.9499
16-03-2020,IN,0.982
16-03-2020,KS,0.9547
16-03-2020,KY,0.9873
16-03-2020,LA,0.9755
16-03-2020,MA,0.9099
16-03-2020,MD,0.903
16-03-2020,ME,0.9374
16-03-2020,MI,0.9185
16-03-2020,MN,0.941
16-03-2020,MO,0.9327
16-03-2020,MP,0
16-03-2020,MS,0.8521
16-03-2020,MT,0.9747
16-03-2020,NC,0.9338
16-03-2020,ND,0.9425
16-03-2020,NE,0.971
16-03-2020,NH,1.0053
16-03-2020,NJ,0.9615
16-03-2020,NM,1.0107
16-03-2020,NV,0.8037
16-03-2020,NY,0.8915
16-03-2020,OH,0.9776
16-03-2020,OK,0.9522
16-03-2020,OR,0.9201
16-03-2020,PA,0.9516
16-03-2020,PR,0.865
16-03-2020,RI,1.051
16-03-2020,SC,0.878
16-03-2020,SD,0.9766
16-03-2020,TN,0.9426
16-03-2020,TX,0.8949
16-03-2020,UT,0.9451
16-03-2020,VA,0.9281
16-03-2020,VI,0.8237
16-03-2020,VT,1.1043
16-03-2020,WA,0.8209
16-03-2020,WI,0.9908
16-03-2020,WV,0.9854
16-03-2020,WY,0.9474
17-03-2020,AK,0.816
17-03-2020,AL,0.8686
17-03-2020,AR,0.8815
17-03-2020,AS,0
17-03-2020,AZ,0.8182
17-03-2020,CA,0.8327
17-03-2020,CO,0.8726
17-03-2020,CT,0.8737
17-03-2020,DC,0.8247
